CEDEAR ARS,Ratio de conversión,CEDEAR D,Subyacente
AMAT.BA,5.0,AMATD.BA,AMAT
NTCO.BA,1.0,NTCOD.BA,NTCOY
ERJ.BA,1.0,ERJD.BA,ERJ
HD.BA,32.0,HDD.BA,HD
BHP.BA,2.0,BHPD.BA,BHP
SNOW.BA,30.0,SNOWD.BA,SNOW
FDX.BA,10.0,FDXD.BA,FDX
UBER.BA,2.0,UBERD.BA,UBER
ABT.BA,4.0,ABTD.BA,ABT
MU.BA,5.0,MUD.BA,MU
VZ.BA,4.0,VZD.BA,VZ
BIIB.BA,13.0,BIIBD.BA,BIIB
TWLO.BA,36.0,TWLOD.BA,TWLO
ARCO.BA,0.5,ARCOD.BA,ARCO
WMT.BA,18.0,WMTD.BA,WMT
DOCU.BA,22.0,DOCUD.BA,DOCU
RBLX.BA,2.0,RBLXD.BA,RBLX
LMT.BA,20.0,LMTD.BA,LMT
GS.BA,13.0,GSD.BA,GS
ERIC.BA,2.0,ERICD.BA,ERIC
EBAY.BA,2.0,EBAYD.BA,EBAY
ABEV.BA,0.3333333333333333,ABEVD.BA,ABEV
SE.BA,32.0,SED.BA,SE
BP.BA,5.0,BPD.BA,BP
NOKA.BA,1.0,NOKAD.BA,NOK
LRCX.BA,56.0,LRCXD.BA,LRCX
PM.BA,18.0,PMD.BA,PM
CVS.BA,15.0,CVSD.BA,CVS
MDLZ.BA,15.0,MDLZD.BA,MDLZ
DAL.BA,8.0,DALD.BA,DAL
CCL.BA,3.0,CCLD.BA,CCL
ACN.BA,75.0,ACND.BA,ACN
SCHW.BA,13.0,SCHWD.BA,SCHW PR J
MRNA.BA,19.0,MRNAD.BA,0A45
STLA.BA,5.0,STLAD.BA,STLA
BKNG.BA,700.0,BKNGD.BA,BKNG34
TMUS.BA,33.0,TMUSD.BA,TMUS
SPCE.BA,0.5,SPCED.BA,SPCE
RIOT.BA,3.0,RIOTD.BA,RIOT
ROKU.BA,13.0,ROKUD.BA,ROKU
RACE.BA,83.0,RACED.BA,RACE
SWKS.BA,21.0,SWKSD.BA,SWKS
PINS.BA,7.0,PINSD.BA,PINS
GPRK.BA,1.0,GPRKD.BA,GPRK
AIG.BA,5.0,AIGD.BA,AIG
ITUB.BA,1.0,ITUBD.BA,ITUB
UAL.BA,5.0,UALD.BA,UAL
CAR.BA,26.0,CARD.BA,CAR
FCX.BA,3.0,FCXD.BA,FCX
CAH.BA,3.0,CAHD.BA,CAH
MOS.BA,5.0,MOSD.BA,MOS
GFI.BA,1.0,GFID.BA,GFI
BMY.BA,3.0,BMYD.BA,BMY
HMC.BA,1.0,HMCD.BA,HMC
HWM.BA,1.0,HWMD.BA,HWM
BBV.BA,1.0,BBVD.BA,BBVA
GSK.BA,4.0,GSKD.BA,GSK
WBO.BA,6.0,WBOD.BA,WB
CBRD.BA,1.0,CBRDD.BA,CBDBY
XOM.BA,10.0,XOMD.BA,XOM
BK.BA,2.0,BKD.BA,BK
LVS.BA,2.0,LVSD.BA,LVS
TGT.BA,24.0,TGTD.BA,TGT
NTES.BA,14.0,NTESD.BA,NTES
MSI.BA,20.0,MSID.BA,MSI
SYY.BA,8.0,SYYD.BA,SYY
ADP.BA,6.0,ADPD.BA,ADP
ADI.BA,15.0,ADID.BA,ADI
CL.BA,3.0,CLD.BA,CL
AEG.BA,1.0,AEGD.BA,AEG
BSBR.BA,1.0,BSBRD.BA,BSBR
TEFO.BA,8.0,TEFOD.BA,TEF
SAN.BA,0.25,SAND.BA,SAN
HPQ.BA,1.0,HPQD.BA,HPQ
KMB.BA,6.0,KMBD.BA,KMB
HL.BA,1.0,HLD.BA,HL
IBN.BA,1.0,IBND.BA,IBN
CAAP.BA,0.25,CAAPD.BA,CAAP
AMX.BA,1.0,AMXD.BA,AMX
PHG.BA,5.0,PHGD.BA,PHG
TV.BA,3.0,TVD.BA,TV
HON.BA,8.0,HOND.BA,HON
GLW.BA,4.0,GLWD.BA,GLW
INFY.BA,1.0,INFYD.BA,INFY
UGP.BA,1.0,UGPD.BA,UGP
SID.BA,0.125,SIDD.BA,SID
IP.BA,4.0,IPD.BA,IP
KGC.BA,1.0,KGCD.BA,KGC
UNP.BA,20.0,UNPD.BA,UNP
BCS.BA,1.0,BCSD.BA,BCS
PSX.BA,6.0,PSXD.BA,PSX
DD.BA,5.0,DDD.BA,DD
YY.BA,5.0,YYD.BA,YY
